well,hydrolysate,mu_max,yeast_soy
31,0,0.952243545,0
40,0,0.996297894,0.6
52,0,1.317950446,1.2
64,0,2.102180856,1.8
41,0.2,1.306431181,0.6
53,0.2,1.649194178,1.2
65,0.2,2.424595059,1.8
9,0.4,0.514909001,0
42,0.4,1.62281249,0.6
54,0.4,2.141223339,1.2
66,0.4,2.584242524,1.8
31,0.6,0.539840376,0
43,0.6,1.369585352,0.6
55,0.6,2.369851787,1.2
67,0.6,2.046431248,1.8
32,0.8,0.580692036,0
44,0.8,1.168203274,0.6
56,0.8,2.429795338,1.2
68,0.8,2.087896887,1.8
33,1,3.198660646,0
45,1,2.139567965,0.6
57,1,2.464774902,1.2
69,1,2.084609558,1.8
